Episode,SurvivalMonths,Reward
2026,122.0,4944.4148
2028,122.0,6913.944
2030,122.0,6875.4692
2032,122.0,7112.6568
2034,122.0,7185.4599
2036,122.0,6564.6151
2038,122.0,7200.4736
2040,122.0,6734.9807
2042,122.0,7281.8075
2044,122.0,7103.0091
2046,122.0,7109.2903
2048,122.0,6966.3836
2050,122.0,7189.9312
2052,122.0,7143.9266
2054,122.0,5897.0991
2056,122.0,7084.4083
2058,122.0,6934.7966
2060,122.0,6554.6639
2062,122.0,6976.4711
2064,122.0,7299.8432
2066,122.0,7040.4483
2068,122.0,7211.0707
2070,122.0,7265.3512
2072,122.0,6044.3537
2074,122.0,7359.2635
2076,122.0,7195.7161
2078,122.0,7251.9687
2080,122.0,6200.0277
2082,122.0,7267.3909
2084,122.0,6959.0838
2086,122.0,7270.0627
2088,122.0,6298.6618
2090,122.0,7420.8694
2092,122.0,7099.6155
2094,122.0,7116.4647
2096,122.0,7394.4141
2098,122.0,7343.3866
2100,122.0,6782.7196
2102,122.0,7232.7695
2104,122.0,6338.6677
2106,122.0,7263.692
2108,122.0,7243.9817
2110,122.0,7038.9117
2112,122.0,7160.4176
2114,122.0,1343.7145
2116,122.0,7084.532
2118,122.0,7236.5463
2120,122.0,7072.6746
2122,122.0,6544.3635
2124,122.0,7044.8887
2126,122.0,6902.8883
2128,122.0,7208.4732
2130,122.0,7213.4751
2132,122.0,6756.9249
2134,122.0,6862.8311
2136,122.0,6873.4182
2138,122.0,7169.0139
2140,122.0,6914.7888
2142,122.0,7123.0668
2144,122.0,6760.6617
2146,122.0,6550.9026
2148,122.0,7296.0358
2150,122.0,6123.6695
2152,122.0,6005.7052
2154,122.0,6155.7553
2156,122.0,6821.8759
2158,122.0,7088.1273
2160,122.0,7240.2644
2162,122.0,4541.097
2164,122.0,7122.588
2166,122.0,6960.8134
2168,122.0,7004.3632
2170,122.0,6621.7201
2172,122.0,6723.3947
2174,122.0,7413.2339
2176,122.0,7050.3162
2178,122.0,6409.5942
2180,122.0,6817.1776
2182,122.0,7368.8488
2184,122.0,6982.3
2186,122.0,7192.3642
2188,122.0,6987.6564
2190,122.0,7317.3685
2192,122.0,7130.1632
2194,122.0,6862.4885
2196,122.0,7084.1879
2198,122.0,7365.1988
2200,122.0,6953.1944
2202,122.0,7078.3706
2204,122.0,7270.3969
2206,122.0,7195.0128
2208,122.0,6600.0475
2210,122.0,7222.6183
2212,122.0,6466.9468
2214,122.0,7269.6456
2216,122.0,6908.9309
2218,122.0,6646.1312
2220,122.0,5402.4159
2222,122.0,7366.3526
2224,122.0,7100.3881
2226,122.0,7174.3899
2228,122.0,7187.7367
