nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient101
2021-12-20 10:45:46.431414: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  3
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient101/PPO_ActionList_gym_cancer:CancerControl-v0_patient101_log_3.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient101/
save checkpoint format : patient10120211220-1045-m1-0.5-m2-12_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
============================================================================================
Updates : 228 		 SurvivalMonths : 46.0 		 Average Reward : -381.01
Updates : 230 		 SurvivalMonths : 15.0 		 Average Reward : 105.6
Updates : 232 		 SurvivalMonths : 50.5 		 Average Reward : 734.19
Updates : 234 		 SurvivalMonths : 34.0 		 Average Reward : 296.54
Updates : 236 		 SurvivalMonths : 36.0 		 Average Reward : 519.34
Updates : 238 		 SurvivalMonths : 45.5 		 Average Reward : -103.11
Updates : 240 		 SurvivalMonths : 56.0 		 Average Reward : 1080.11
Updates : 242 		 SurvivalMonths : 36.5 		 Average Reward : 566.38
Updates : 244 		 SurvivalMonths : 48.5 		 Average Reward : 218.28
Updates : 246 		 SurvivalMonths : 35.5 		 Average Reward : 432.37
Updates : 248 		 SurvivalMonths : 46.0 		 Average Reward : 149.49
Updates : 250 		 SurvivalMonths : 49.5 		 Average Reward : 565.53
Updates : 252 		 SurvivalMonths : 46.5 		 Average Reward : 145.71
Updates : 254 		 SurvivalMonths : 32.5 		 Average Reward : 369.86
Updates : 256 		 SurvivalMonths : 14.5 		 Average Reward : 92.88
Updates : 258 		 SurvivalMonths : 51.0 		 Average Reward : 221.98
Updates : 260 		 SurvivalMonths : 16.5 		 Average Reward : 143.79
Updates : 262 		 SurvivalMonths : 45.5 		 Average Reward : 507.25
Updates : 264 		 SurvivalMonths : 46.0 		 Average Reward : 422.32
Updates : 266 		 SurvivalMonths : 32.5 		 Average Reward : 154.84
Updates : 268 		 SurvivalMonths : 50.0 		 Average Reward : -192.86
Updates : 270 		 SurvivalMonths : 45.0 		 Average Reward : 166.36
Updates : 272 		 SurvivalMonths : 54.0 		 Average Reward : 879.18
Updates : 274 		 SurvivalMonths : 48.0 		 Average Reward : 258.03
Updates : 276 		 SurvivalMonths : 52.5 		 Average Reward : 853.77
Updates : 278 		 SurvivalMonths : 46.5 		 Average Reward : 461.58
Updates : 280 		 SurvivalMonths : 46.5 		 Average Reward : 578.71
Updates : 282 		 SurvivalMonths : 45.5 		 Average Reward : 221.12
Updates : 284 		 SurvivalMonths : 51.0 		 Average Reward : 672.37
Updates : 286 		 SurvivalMonths : 52.0 		 Average Reward : 377.61
Updates : 288 		 SurvivalMonths : 45.5 		 Average Reward : 350.22
Updates : 290 		 SurvivalMonths : 48.5 		 Average Reward : 513.75
Updates : 292 		 SurvivalMonths : 55.0 		 Average Reward : 902.09
Updates : 294 		 SurvivalMonths : 49.5 		 Average Reward : 503.96
Updates : 296 		 SurvivalMonths : 46.5 		 Average Reward : 265.39
Updates : 298 		 SurvivalMonths : 47.5 		 Average Reward : 504.46
Updates : 300 		 SurvivalMonths : 33.5 		 Average Reward : 454.26
Updates : 302 		 SurvivalMonths : 50.5 		 Average Reward : 359.82
Updates : 304 		 SurvivalMonths : 31.5 		 Average Reward : 269.62
Updates : 306 		 SurvivalMonths : 50.0 		 Average Reward : 744.96
Updates : 308 		 SurvivalMonths : 33.0 		 Average Reward : 543.76
Updates : 310 		 SurvivalMonths : 45.5 		 Average Reward : 440.0
Updates : 312 		 SurvivalMonths : 35.0 		 Average Reward : 700.05
UUpdates : 314 		 SurvivalMonths : 49.5 		 Average Reward : 421.11UUpdates : 316 		 SurvivalMonths : 32.0 		 Average Reward : 366.0
Updates : 318 		 SurvivalMonths : 36.5 		 Average Reward : 791.19
Updates : 320 		 SurvivalMonths : 55.5 		 Average Reward : 937.61
Updates : 322 		 SurvivalMonths : 35.5 		 Average Reward : 621.02
Updates : 324 		 SurvivalMonths : 36.5 		 Average Reward : 409.25
Updates : 326 		 SurvivalMonths : 25.5 		 Average Reward : 389.16
Updates : 328 		 SurvivalMonths : 49.0 		 Average Reward : 122.14
Updates : 330 		 SurvivalMonths : 49.0 		 Average Reward : 598.9
UUpdates : 332 		 SurvivalMonths : 57.0 		 Average Reward : -207.6UpUpdates : 334 		 SurvivalMonths : 55.5 		 Average Reward : 653.9UpUpdates : 336 		 SurvivalMonths : 57.5 		 Average Reward : 1111.UpdUpdates : 338 		 SurvivalMonths : 52.5 		 Average Reward : 314.UpdUpdates : 340 		 SurvivalMonths : 34.0 		 Average Reward : 484.UpdUpdates : 342 		 SurvivalMonths : 57.0 		 Average Reward : 835.UpdUpdates : 344 		 SurvivalMonths : 62.0 		 Average Reward : 1243UpdaUpdates : 346 		 SurvivalMonths : 37.5 		 Average Reward : 821UpdaUpdates : 348 		 SurvivalMonths : 56.0 		 Average Reward : 542UpdaUpdates : 350 		 SurvivalMonths : 60.0 		 Average Reward : 817.Updates : 352 		 SurvivalMonths : 47.0 		 Average Reward : 483.02
UpUpdates : 354 		 SurvivalMonths : 58.5 		 Average Reward : 595.1Updates : 356 		 SurvivalMonths : 59.5 		 Average Reward : 1433.25
UUpdates : 358 		 SurvivalMonths : 59.5 		 Average Reward : 1180.8UpUpdates : 360 		 SurvivalMonths : 63.0 		 Average Reward : 1535.UpdUpdates : 362 		 SurvivalMonths : 53.0 		 Average Reward : 803.UpdUpdates : 364 		 SurvivalMonths : 12.0 		 Average Reward : 28.5UpUpdates : 366 		 SurvivalMonths : 53.0 		 Average Reward : 284.19UUpdates : 368 		 SurvivalMonths : 60.5 		 Average Reward : -249.4UUpdates : 370 		 SurvivalMonths : 35.5 		 Average Reward : 556.46UUpdates : 372 		 SurvivalMonths : 58.5 		 Average Reward : 1374.9UUpdates : 374 		 SurvivalMonths : 35.5 		 Average Reward : 510.14
Updates : 376 		 SurvivalMonths : 35.0 		 Average Reward : 498.19
Updates : 378 		 SurvivalMonths : 44.5 		 Average Reward : 931.89
Updates : 380 		 SurvivalMonths : 44.5 		 Average Reward : 514.05
Updates : 382 		 SurvivalMonths : 41.5 		 Average Reward : 679.35
UUpdates : 384 		 SurvivalMonths : 60.0 		 Average Reward : 1266.7UpUpdates : 386 		 SurvivalMonths : 33.0 		 Average Reward : 434.9UpUpdates : 388 		 SurvivalMonths : 36.5 		 Average Reward : 294.2UpUpdates : 390 		 SurvivalMonths : 59.5 		 Average Reward : 1095.UpUpdates : 392 		 SurvivalMonths : 56.5 		 Average Reward : 841.5UpUpdates : 394 		 SurvivalMonths : 44.0 		 Average Reward : 699.UpdUpdates : 396 		 SurvivalMonths : 58.0 		 Average Reward : 512UpdaUpdates : 398 		 SurvivalMonths : 31.5 		 Average Reward : 115UpdaUpdates : 400 		 SurvivalMonths : 56.0 		 Average Reward : 709Updates : 402 		 SurvivalMonths : 55.5 		 Average Reward : 1116.99
UpdaUpdates : 404 		 SurvivalMonths : 57.5 		 Average Reward : 612UpdaUpdates : 406 		 SurvivalMonths : 29.5 		 Average Reward : -85UpdUpdates : 408 		 SurvivalMonths : 59.5 		 Average Reward : 1068UpdaUpdates : 410 		 SurvivalMonths : 62.5 		 Average Reward : 131UpdatUpdates : 412 		 SurvivalMonths : 52.5 		 Average Reward : 497UpdaUpdates : 414 		 SurvivalMonths : 51.5 		 Average Reward : 830UpdaUpdates : 416 		 SurvivalMonths : 59.5 		 Average Reward : 860.UpdUpdates : 418 		 SurvivalMonths : 59.5 		 Average Reward : 921.UpdUpdates : 420 		 SurvivalMonths : 58.0 		 Average Reward : 1432.39
Updates : 422 		 SurvivalMonths : 53.5 		 Average Reward : 846.17
Updates : 424 		 SurvivalMonths : 59.0 		 Average Reward : 948.26
Updates : 426 		 SurvivalMonths : 55.0 		 Average Reward : 843.5
Updates : 428 		 SurvivalMonths : 58.5 		 Average Reward : 1009.55
Updates : 430 		 SurvivalMonths : 60.0 		 Average Reward : 1357.89
Updates : 432 		 SurvivalMonths : 50.5 		 Average Reward : 267.05
Updates : 434 		 SurvivalMonths : 48.0 		 Average Reward : 891.42
Updates : 436 		 SurvivalMonths : 59.0 		 Average Reward : 792.82
Updates : 438 		 SurvivalMonths : 12.0 		 Average Reward : 28.52
Updates : 440 		 SurvivalMonths : 56.5 		 Average Reward : 394.28
Updates : 442 		 SurvivalMonths : 59.5 		 Average Reward : 985.54
Updates : 444 		 SurvivalMonths : 18.0 		 Average Reward : 134.29
Updates : 446 		 SurvivalMonths : 50.5 		 Average Reward : 455.31
Updates : 448 		 SurvivalMonths : 55.5 		 Average Reward : 730.23
Updates : 450 		 SurvivalMonths : 53.0 		 Average Reward : 850.44
Updates : 452 		 SurvivalMonths : 60.0 		 Average Reward : 794.88
Updates : 454 		 SurvivalMonths : 39.0 		 Average Reward : 541.65
Updates : 456 		 SurvivalMonths : 53.0 		 Average Reward : 1085.18
Updates : 458 		 SurvivalMonths : 36.5 		 Average Reward : 523.1
Updates : 460 		 SurvivalMonths : 58.0 		 Average Reward : 993.48
Updates : 462 		 SurvivalMonths : 41.5 		 Average Reward : 534.32
Updates : 464 		 SurvivalMonths : 56.0 		 Average Reward : 478.05
Updates : 466 		 SurvivalMonths : 54.0 		 Average Reward : 473.18
Updates : 468 		 SurvivalMonths : 60.0 		 Average Reward : 1176.61
Updates : 470 		 SurvivalMonths : 49.5 		 Average Reward : 946.32
Updates : 472 		 SurvivalMonths : 40.0 		 Average Reward : 150.45
Updates : 474 		 SurvivalMonths : 58.0 		 Average Reward : 740.63
Updates : 476 		 SurvivalMonths : 37.0 		 Average Reward : 193.5
Updates : 478 		 SurvivalMonths : 39.5 		 Average Reward : 797.82
Updates : 480 		 SurvivalMonths : 57.0 		 Average Reward : 759.65
Updates : 482 		 SurvivalMonths : 47.5 		 Average Reward : 751.89
Updates : 484 		 SurvivalMonths : 39.0 		 Average Reward : 731.55
Updates : 486 		 SurvivalMonths : 59.5 		 Average Reward : 544.3
Updates : 488 		 SurvivalMonths : 55.0 		 Average Reward : 539.28
Updates : 490 		 SurvivalMonths : 53.5 		 Average Reward : 1165.23
Updates : 492 		 SurvivalMonths : 62.5 		 Average Reward : 1161.1
Updates : 494 		 SurvivalMonths : 53.0 		 Average Reward : 940.07
Updates : 496 		 SurvivalMonths : 55.5 		 Average Reward : 1100.76
Updates : 498 		 SurvivalMonths : 58.5 		 Average Reward : 1051.57
Updates : 500 		 SurvivalMonths : 37.5 		 Average Reward : 488.2
--------------------------------------------------------------------------------------------
